index	name	color
0	"Unknown"	#000000
1	"Left-Cerebral-Exterior"	#4682b4
2	"Left-Cerebral-White-Matter"	#f5f5f5
3	"Left-Cerebral-Cortex"	#cd3e4e
4	"Left-Lateral-Ventricle"	#781286
5	"Left-Inf-Lat-Vent"	#c43afa
6	"Left-Cerebellum-Exterior"	#009400
7	"Left-Cerebellum-White-Matter"	#dcf8a4
8	"Left-Cerebellum-Cortex"	#e69422
9	"Left-Thalamus-unused"	#00760e
10	"Left-Thalamus"	#00760e
11	"Left-Caudate"	#7abadc
12	"Left-Putamen"	#ec0db0
13	"Left-Pallidum"	#0c30ff
14	"3rd-Ventricle"	#ccb68e
15	"4th-Ventricle"	#2acca4
16	"Brain-Stem"	#779fb0
17	"Left-Hippocampus"	#dcd814
18	"Left-Amygdala"	#67ffff
19	"Left-Insula"	#50c462
20	"Left-Operculum"	#3c3ad2
21	"Line-1"	#3c3ad2
22	"Line-2"	#3c3ad2
23	"Line-3"	#3c3ad2
24	"CSF"	#3c3c3c
25	"Left-Lesion"	#ffa500
26	"Left-Accumbens-area"	#ffa500
27	"Left-Substancia-Nigra"	#00ff7f
28	"Left-VentralDC"	#a52a2a
29	"Left-undetermined"	#87ceeb
30	"Left-vessel"	#a020f0
31	"Left-choroid-plexus"	#00c8c8
32	"Left-F3orb"	#643264
33	"Left-lOg"	#87324a
34	"Left-aOg"	#7a8732
35	"Left-mOg"	#333287
36	"Left-pOg"	#4a9b3c
37	"Left-Stellate"	#783e2b
38	"Left-Porg"	#4a9b3c
39	"Left-Aorg"	#7a8732
40	"Right-Cerebral-Exterior"	#4682b4
41	"Right-Cerebral-White-Matter"	#f5f5f5
42	"Right-Cerebral-Cortex"	#cd3e4e
43	"Right-Lateral-Ventricle"	#781286
44	"Right-Inf-Lat-Vent"	#c43afa
45	"Right-Cerebellum-Exterior"	#009400
46	"Right-Cerebellum-White-Matter"	#dcf8a4
47	"Right-Cerebellum-Cortex"	#e69422
